Zeit,UTC,TF,PF,T200,T3300,T3700,T4000,u800,u2700,u3000,u3300,u3700,u4200,DD200,DD3300,DD3700,DD4000,Rn,Rg200,Rg3700,Pa
2009-06-02 15:39,2009-06-02 15:30,0,0,18.59000015,18.64999962,NA,18.47999954,0.403829992,0.704218047,0.955388331,1.212561515,1.312281707,2.53582252,15.09528543,14.08452074,NA,13.86312274,124.6690979,14.99272156,173.6462097,967.2815397
2009-06-02 15:49,2009-06-02 15:40,1.223242402,0.107908111,18.31999969,18.45000076,NA,18.39999962,1.233800054,0.95440424,1.513362277,1.932252814,2.132677239,3.798070429,15.40377726,14.38649431,NA,13.86779301,46.57040405,0,61.973526,967.2389261
2009-06-02 15:59,2009-06-02 15:50,3.547400236,9.064280787,15.18999958,15.10000038,NA,15.81999969,0.448830009,0.696082967,1.012465037,1.247332349,1.392320329,1.730188153,15.26363132,15.3126969,NA,14.33431092,157.4007568,8.442503929,174.9699097,967.0085739
2009-06-02 16:09,2009-06-02 16:00,0.142711863,0.107908111,15.05000019,15.59000015,NA,16.38999939,0.406500012,0.619652675,1.042971559,1.316874116,1.82498794,2.893371965,16.10102347,15.81996174,NA,14.483752,169.0734253,13.82823849,215.2827911,966.7882586
2009-06-02 16:19,2009-06-02 16:10,0.050968595,0,15.43000031,16.18000031,NA,16.96999931,0.517670035,0.72537578,1.810554772,2.981611111,3.473323685,3.437240714,16.65679113,15.76674551,NA,14.3300296,239.2298889,12.66375542,305.1744995,966.6054715
2009-06-02 16:29,2009-06-02 16:20,0.030580768,0,15.97000027,17.07999992,NA,17.34000015,0.65083003,0.866164968,1.895841795,2.718861553,3.670139894,3.33555234,17.35173279,16.55902496,NA,14.96641676,381.3477478,24.89082909,460.7701416,966.441122
2009-06-02 16:39,2009-06-02 16:30,0.010193913,0,16.14999962,17.37000084,NA,17.56999969,0.711499989,1.050844187,1.875176033,2.450207349,3.0213025,3.978485287,17.4606469,15.63893499,NA,14.5351522,138.9891968,10.04366779,190.6137238,966.2405815
2009-06-02 16:49,2009-06-02 16:40,0.010192941,0,16.19000053,18.04000092,NA,18.04999924,0.466670007,0.729312107,1.002624226,1.108576962,1.80301009,4.05721177,17.26622706,15.85883006,NA,15.15304294,330.9266052,13.68267822,408.9049377,966.2528754
2009-06-02 16:59,2009-06-02 16:50,0.010193913,0,16.52000046,18.54999924,NA,18.53000069,0.421829998,1.019025577,1.445132698,1.643260994,1.73379647,4.2737096,17.55799989,15.5015223,NA,14.92994538,307.5812378,18.92285347,383.0325012,966.0543778
2009-06-02 17:09,2009-06-02 17:00,0,0,16.88999939,19.05999947,NA,18.85000038,0.597169995,0.959652667,1.332291375,1.489744292,1.639980724,4.103135552,17.47581913,15.86697805,NA,15.23618471,308.9048767,49.19941711,396.5102234,966.0393271
2009-06-02 17:19,2009-06-02 17:10,0,0,17.45000076,19.10000038,NA,18.95999908,0.796500027,1.329995196,1.964727468,2.185489609,2.003106569,5.310274964,16.59264186,15.09139735,NA,14.76304559,291.8171082,86.75400543,380.7460938,966.0290523
2009-06-02 17:29,2009-06-02 17:20,0,0,17.79000092,19.04000092,NA,18.95999908,0.993499994,1.567814781,2.31932469,2.80054036,2.647023557,6.504293295,15.6682311,14.43195145,NA,14.03157293,238.0264893,42.79476166,326.835144,966.0249394
2009-06-02 17:39,2009-06-02 17:30,0,0,17.69000053,18.84000015,NA,18.78000069,0.914669991,1.267013969,1.76463099,1.912243146,1.837780974,5.011770381,15.38980606,14.26372499,NA,13.89633177,130.4452209,9.752547264,211.6726837,966.026996
2009-06-02 17:49,2009-06-02 17:40,0,0,17.28000069,19.05999947,NA,18.98999977,0.574500024,0.988519055,1.468750583,1.693449088,2.161871724,4.828075253,16.21823106,14.1282217,NA,13.69364503,161.3718262,11.93595314,246.3297272,966.0194529
2009-06-02 17:59,2009-06-02 17:50,0,0,17.44000053,19.21999931,NA,19.04999924,1.037800074,1.438572158,2.184833615,2.752320349,2.330149542,6.038494935,14.67909634,13.04118245,NA,12.76715441,202.1660767,13.39155769,302.1660767,966.0242538
2009-06-02 18:09,2009-06-02 18:00,0,0,18.22999954,19.46999931,NA,19.13999939,0.902330041,1.37460684,1.957510834,2.254375382,1.967679691,5.346357935,14.01147918,12.58555115,NA,12.38498364,151.143219,10.91703033,253.0685883,966.0276815
2009-06-02 18:19,2009-06-02 18:10,0,0,18.18000031,19.38999939,NA,19.04999924,0.905669987,1.386743829,2.130053063,2.294394517,2.330477489,5.776073324,13.55251178,12.15416152,NA,11.92364568,103.8507996,7.860261917,210.3489838,965.8421552
2009-06-02 18:29,2009-06-02 18:20,0,0,18.28000069,19.42000008,NA,19.09000015,0.768169999,1.051828278,1.453333373,1.587168355,1.778736111,4.641099855,13.47626131,11.57286828,NA,11.39704701,71.72079468,8.588064194,176.2936249,966.0043497
2009-06-02 18:39,2009-06-02 18:30,0,0,17.26000023,19.35000038,NA,19.01000023,0.745330036,0.895031356,1.322450565,1.463502131,1.594384989,4.139218524,14.69800876,11.48891459,NA,11.31175097,55.83633423,5.385735035,157.8820648,965.7981817
2009-06-02 18:49,2009-06-02 18:40,0,0,16.61000061,19.23999977,NA,18.95000076,0.637669981,0.797049677,1.090535476,1.303096941,1.805962413,3.939122045,15.07703243,11.48849742,NA,11.3548258,30.44522095,5.24017477,127.1961517,965.781642
2009-06-02 18:59,2009-06-02 18:50,0,0,17.17000008,19.03000069,NA,18.87000084,0.854830027,1.034114789,1.434635794,1.590776672,1.900106106,4.782151471,12.83565995,11.29508146,NA,11.16103866,22.38269043,6.841339111,102.1660614,965.7692193
