Event Number,,index,TF,ref_rain,ref_Tair,ref_Tmin,radiation,EUF_Rn,vpd,surfT,wind,windD,type,duration,rain_timesteps,rain_pause,month,DOY,intensity_max,year,start,end,intensity_mean,class,interception,int_perc,period,ETP
1,62,81,0.204892703,0.804299355,17.76153858,13.97999954,3224.207774,531.9026727,6.620508,17.11999996,5.323408658,282.2269234,4,260,2,1,7,191,0.53619957,2008,09.07.2008 11:49,09.07.2008 15:59,2.412898065,II,0.599406652,74.52531801,2,5.381866182
2,71,90,0.804281395,2.791822672,11.21366666,10.28999996,0,-7.713597943,1.0671236,10.68400002,3.767104685,272.9863332,4,300,6,1,7,202.5333333,1.116729069,2008,20.07.2008 21:49,21.07.2008 02:39,2.791822672,III,1.987541277,71.19153007,2,0.273136376
3,97,117,0.244649056,0.733862603,8.108965463,7.869999886,0,-1.943218786,1.909430155,7.916931087,3.107358655,308.9306902,4,290,5,1,9,264.3793103,0.244620869,2008,20.09.2008 21:09,21.09.2008 01:49,0.880635124,II,0.489213547,66.66282559,2,0.585642955
4,131,154,0.305809616,1.188674604,4.187214289,2.832000017,0,-43.12073872,1.492945569,3.627499989,6.533112811,296.2814275,4,280,4,1,11,321,0.648367974,2008,16.11.2008 19:19,16.11.2008 23:49,1.783011906,II,0.882864988,74.27305884,2,0.445801795
5,156,29,0.366971155,1.091391881,7.144961486,4.227000237,219.4344181,-15.55020716,0.916952974,6.528923053,4.170330621,305.9234616,4,260,2,1,4,112,0.763974304,2009,22.04.2009 16:49,22.04.2009 20:59,3.274175643,III,0.724420726,66.37585807,2,0.223345797
6,172,46,0.346585273,1.268240635,12.66535708,11.73999977,0,-18.12274364,1.102524276,12.56571429,2.978237203,120.7184276,4,280,4,1,5,140.9642857,0.461178413,2009,20.05.2009 23:59,21.05.2009 04:29,1.902360953,II,0.921655362,72.67196277,2,0.143409772
7,184,58,5.025484631,9.280097008,17.7359261,15.89000034,1020.05616,128.742701,7.903819874,17.03925952,4.531004272,290.630741,4,270,3,1,6,153,9.064280787,2009,02.06.2009 15:49,02.06.2009 20:09,18.56019402,IV,4.254612377,45.84663688,2,3.074292415
8,185,59,0.397553867,1.388334155,6.040346164,5.59499979,24.70918552,-16.76694737,2.128328663,5.646730753,3.898699021,289.8738459,4,260,2,1,6,155,1.262121958,2009,04.06.2009 00:49,04.06.2009 04:59,4.165002465,III,0.990780288,71.36468439,2,0.680017473
9,205,81,16.75596449,16.53619003,17.52238097,16.45000076,67.28840777,6.647183572,0.845161089,17.2021429,2.722717822,160.902381,4,420,18,1,7,183,4.529020327,2009,02.07.2009 15:19,02.07.2009 22:09,5.512063343,III,-0.219774456,-1.329051345,2,0.240641144
10,229,105,0.122324043,0.537785047,16.37461545,12.89000034,1215.122341,177.6173246,5.756403199,15.86192322,4.900745853,278.656539,4,260,2,1,7,206,0.322671031,2009,25.07.2009 14:59,25.07.2009 19:09,1.613355141,II,0.415461004,77.25410112,2,2.981652208
11,271,151,0,0.586729348,5.503279982,2.236999989,693.3614118,100.8423581,1.277536973,6.488560028,4.779973375,117.9880011,4,250,1,1,10,295,0.586729348,2009,22.10.2009 06:59,22.10.2009 10:59,3.520376088,III,0.586729348,100,2,1.51841257
12,345,51,6.391437855,7.652896412,19.51535715,17.29999924,1417.589247,268.5207472,NA,19.48392882,3.011625671,271.4342851,4,280,4,1,7,186,3.979506152,2010,05.07.2010 05:39,05.07.2010 10:09,11.47934462,IV,1.261458557,16.48341346,2,NA
13,346,52,12.08150395,14.80765389,16.06195647,15.17000008,20.07621302,0.903864101,NA,15.6219566,3.742191742,288.6967389,4,460,22,1,7,186.7391304,3.106500771,2010,05.07.2010 22:09,06.07.2010 05:39,4.038451061,III,2.726149942,18.41041101,2,NA
14,393,100,0.173292636,1.019551979,12.85892858,10.42000008,1373.806655,236.0565092,4.601506244,15.80107137,2.483912201,173.0080356,4,280,4,1,9,247,0.436950855,2010,04.09.2010 13:09,04.09.2010 17:39,1.529327969,II,0.846259343,83.00306022,2,2.95673071
15,412,120,0.387359953,1.549162289,3.686724128,2.907999992,79.02125867,-17.39269922,0.30156646,4.514206919,4.126549894,273.1548278,4,290,5,1,10,293,0.553272241,2010,20.10.2010 15:29,20.10.2010 20:09,1.858994747,II,1.161802336,74.99552141,2,-0.063695999
